Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
"County of Mesa, dba: Mesa County",Grand Junction,CO,80016,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,34273,"Grand Junction, CO","135,973",18,DR,Demand Response,PT,7,0,,0,,0,,0,,"941,704",,"941,704",,0,
Productive Alternatives,Fergus Falls,MN,50504,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,18,MB,Bus,DO,6,0,,0,,0,,0,,"1,230,945",,"1,230,945",,0,
Kalkaska Public Transit Authority,Kalkaska,MI,50282,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,18,MB,Bus,DO,6,0,,0,,0,,0,,"333,448",,"333,448",,0,
"City of Beaumont, dba: Beaumont Municipal Transit System",Beaumont,TX,60016,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,6058,"Beaumont, TX","146,649",18,DR,Demand Response,PT,6,"642,489",,"175,893",,"26,922",,"249,987",,0,,"1,095,291",,0,
"City of Rapid City, dba: Rapid Transit System",Rapid City,SD,80014,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,73396,"Rapid City, SD","85,679",18,MB,Bus,DO,6,0,,0,,0,,0,,"1,457,772",,"1,457,772",,0,
"Tri-Valley Opportunity Council, Inc.",Crookston,MN,50353,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,18,MB,Bus,DO,6,0,,0,,0,,0,,"173,178",,"173,178",,0,
"City of Mankato , dba: Mankato Transit System",Mankato,MN,50205,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,53983,"Mankato, MN","60,206",18,DR,Demand Response,DO,6,0,,0,,0,,0,,"1,241,000",,"1,241,000",,0,
Fairbanks North Star Borough,Fairbanks,AK,00045,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,28549,"Fairbanks, AK","71,396",18,DR,Demand Response,DO,6,0,,0,,0,,0,,"1,611,358",,"1,611,358",,0,
"City of High Point, dba: High Point Transit System",High Point,NC,40011,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,38809,"High Point, NC","167,830",18,DR,Demand Response,DO,6,0,,0,,0,,0,,"657,927",,"657,927",,0,
Umpqua Public Transportation District,Roseburg,OR,00459,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,18,MB,Bus,PT,5,0,,0,,0,,0,,"1,159,200",,"1,159,200",,0,
City and Borough of Juneau,Juneau,AK,00391,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,18,DR,Demand Response,PT,5,0,,0,,0,,0,,"958,314",,"958,314",,0,
Valley Transit,Walla Walla,WA,00064,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,91405,"Walla Walla, WA--OR","50,013",18,DR,Demand Response,DO,5,0,,0,,0,,0,,"1,499,760",,"1,499,760",,0,
Valley Transit,Walla Walla,WA,00064,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,91405,"Walla Walla, WA--OR","50,013",18,VP,Vanpool,DO,5,0,,0,,0,,0,,"227,690",,"227,690",,0,
"City of Redondo Beach, dba: Beach Cities Transit",Redondo Beach,CA,90214,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",18,DR,Demand Response,PT,4,"376,939",,"98,228",,"7,695",,"185,078",,0,,"667,940",,0,
Greater Lynchburg Transit Company,Lynchburg,VA,30008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,52201,"Lynchburg, VA","125,596",18,DR,Demand Response,DO,4,"566,272",,"241,219",,"34,788",,"81,919",,0,,"924,198",,0,
"County of Citrus, dba: Citrus County Transit",Inverness,FL,41157,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,7472,"Beverly Hills--Homosassa Springs--Pine Ridge, FL","96,729",18,MB,Bus,DO,4,0,,0,,0,,0,,"589,294",,"589,294",,0,
City of Glendale,Glendale,AZ,90034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",18,MB,Bus,DO,3,"427,660",,"99,318",,"6,800",,"181,377",,0,,"715,155",,0,
Incorporated County of Los Alamos,Los Alamos,NM,60215,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,18,DR,Demand Response,DO,3,0,,0,,0,,0,,"312,819",,"312,819",,0,
Transp. Administration of Cleveland County. Inc,Shelby,NC,41082,Private-Non-Profit Corporation,Rural Reporter,2022,,,,18,MB,Bus,DO,2,0,,0,,0,,0,,"122,198",,"122,198",,0,
Sumter County Board of County Commissioners,Wildwood,FL,40999,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,87285,"The Villages--Lady Lake, FL","161,736",18,MB,Bus,PT,2,0,,0,,0,,0,,"88,943",,"88,943",,0,
"Confederated Salish and Kootenai Tribes, dba: CSKT Transit",Pablo,MT,88134,Tribe,Reduced Reporter,2022,30,Montana Non-UZA,"688,772",18,CB,Commuter Bus,DO,2,0,,0,,0,,0,,"287,256",,"287,256",,0,
"City of Camarillo, dba: Camarillo Area Transit",Camarillo,CA,90163,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,12754,"Camarillo, CA","76,338",18,MB,Bus,PT,2,0,,0,,0,,0,,"697,032",,"697,032",,0,
OSU-Stillwater Community Transit,Stillwater,OK,60160,University,Rural Reporter,2022,,,,18,DR,Demand Response,DO,2,0,,0,,0,,0,,"131,588",,"131,588",,0,
Umpqua Public Transportation District,Roseburg,OR,00459,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,18,CB,Commuter Bus,PT,2,0,,0,,0,,0,,"814,899",,"814,899",,0,
Central Shenandoah Planning District Commission,Staunton,VA,30989,"MPO, COG or Other Planning Agency",Reduced Reporter,2022,84630,"Staunton--Waynesboro, VA","59,065",18,DR,Demand Response,PT,2,0,,0,,0,,0,,"223,118",,"223,118",,0,
Wilkes Transportation Authority,Wilkesboro,NC,40918,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,18,MB,Bus,DO,2,0,,0,,0,,0,,"51,820",,"51,820",,0,
Chatham Transit Network,Pittsboro,NC,41004,Private-Non-Profit Corporation,Rural Reporter,2022,,,,18,MB,Bus,DO,1,0,,0,,0,,0,,"10,618",,"10,618",,0,
North Carolina Department of Transportation -- Ferry Division,Raleigh,NC,44958,State Government Unit or Department of Transportation,Rural Reporter,2022,,,,17,FB,Ferryboat,PT,17,0,,0,,0,,0,,"41,279,139",,"41,279,139",,0,
"Yankton Transit, Inc.",Yankton,SD,80271,Private-Non-Profit Corporation,Rural Reporter,2022,,,,17,DR,Demand Response,DO,17,0,,0,,0,,0,,"741,516",,"741,516",,0,
"Delaware, Dubuque & Jackson County Regional Transi",Dubuque,IA,70136,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,17,DR,Demand Response,DO,17,0,,0,,0,,0,,"1,820,035",,"1,820,035",,0,
"County of Johnson, Iowa, dba: Johnson County SEATS",Iowa City,IA,70045,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,41590,"Iowa City, IA","126,810",17,DR,Demand Response,DO,17,"2,303,931",,"38,759",,"6,605",,"462,946",,0,,"2,812,241",,0,
Tazewell County,Pekin,IL,50420,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,17,DR,Demand Response,DO,17,0,,0,,0,,0,,"836,069",,"836,069",,0,
Pike County,Hawley,PA,31038,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,17,DR,Demand Response,DO,17,0,,0,,0,,0,,"890,560",,"890,560",,0,
Mt Si Senior Center,North Bend,WA,00317,Private-Non-Profit Corporation,Rural Reporter,2022,,,,8,DR,Demand Response,DO,8,0,,0,,0,,0,,"1,244,612",,"1,244,612",,0,
Natchez Transit System,Natchez,MS,41121,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,17,DR,Demand Response,DO,17,0,,0,,0,,0,,"1,349,661",,"1,349,661",,0,
Washington State Ferries,Olympia,WA,00035,State Government Unit or Department of Transportation,Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011",17,FB,Ferryboat,DO,17,"213,641,114",,"33,538,082",,"10,871,095",,"24,456,136",,0,,"282,506,427",,0,
"Bureau County, dba: Bureau Putnam Area Rural Transit",Princeton,IL,50263,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,17,DR,Demand Response,DO,17,0,,0,,0,,0,,"1,525,139",,"1,525,139",,0,
Crawford County Transportation Authority,Grayling,MI,50503,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,17,DR,Demand Response,DO,17,0,,0,,0,,0,,"1,787,670",,"1,787,670",,0,
County of Walworth,Elkhorn,WI,55318,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,17,DR,Demand Response,PT,17,0,,0,,0,,0,,"920,961",,"920,961",,0,
Bay Area Rural Transit Commission,Ashland,WI,50401,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,17,MB,Bus,DO,17,0,,0,,0,,0,,"1,585,060",,"1,585,060",,0,
Hancock Area Transportation Services,Findlay,OH,50377,Private-Non-Profit Corporation,Rural Reporter,2022,,,,17,DR,Demand Response,DO,17,0,,0,,0,,0,,"1,594,670",,"1,594,670",,0,
"City of Janesville, dba: Janesville Transit System",Janesville,WI,50108,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,42562,"Janesville, WI","72,285",17,MB,Bus,DO,15,0,,0,,0,,0,,"3,660,135",,"3,660,135",,0,
"Coles County, dba: Coles County Council on Aging",Charleston,IL,50447,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,17,DR,Demand Response,DO,15,0,,0,,0,,0,,"1,005,689",,"1,005,689",,0,
City of Del Rio Transportation,Del Rio,TX,60152,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,17,DR,Demand Response,DO,15,0,,0,,0,,0,,"1,209,306",,"1,209,306",,0,
Ohio Valley Regional Transportation Authority,Wheeling,WV,30035,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,94726,"Wheeling, WV--OH","57,695",17,MB,Bus,DO,14,"2,323,349",,"610,309",,"105,687",,"842,225",,0,,"3,881,570",,0,
Kenmare Wheels & Meals,Kenmare,ND,80196,Private-Non-Profit Corporation,Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,"84,551",,"84,551",,0,
"City of Petersburg , dba: Petersburg Area Transit",Petersburg,VA,30009,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,74746,"Richmond, VA","1,059,150",17,MB,Bus,DO,13,0,,0,,0,,0,,"3,938,343",,"3,938,343",,0,
People for People Yakima,Yakima,WA,00297,Private-Non-Profit Corporation,Rural Reporter,2022,97507,"Yakima, WA","133,145",17,DR,Demand Response,DO,13,0,,0,,0,,0,,"1,328,438",,"1,328,438",,0,
"Charlotte County Government, dba: Charlotte County Transit Division",Port Charlotte,FL,40129,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,71060,"Port Charlotte--North Port, FL","199,998",17,DR,Demand Response,PT,13,"2,023,122",,"157,125",,"15,547",,"719,321",,0,,"2,915,115",,0,
Pullman Transit,Pullman,WA,00294,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,17,MB,Bus,DO,13,0,,0,,0,,0,,"4,186,234",,"4,186,234",,0,
River Valley Metro Mass Transit District,Bourbonnais,IL,50159,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,43885,"Kankakee, IL","66,530",17,MB,Bus,PT,12,"3,097,140",,"1,111,113",,"240,102",,"1,568,062",,0,,"6,016,417",,0,
City of Bangor,Bangor,ME,10096,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,4951,"Bangor, ME","61,539",17,MB,Bus,DO,12,0,,0,,0,,0,,"3,141,581",,"3,141,581",,0,
City of Burbank,Burbank,CA,90256,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",17,MB,Bus,PT,12,0,,0,,0,,0,,"1,831,533",,"1,831,533",,0,
City of Plymouth,Minneapolis,MN,50516,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,57628,"Minneapolis--St. Paul, MN","2,914,866",17,MB,Bus,PT,12,"1,568,047",,"736,392",,"151,759",,"628,432",,0,,"3,084,630",,0,
Tulare County Regional Transit Agency,Visalia,CA,90310,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,88840,"Tulare, CA","70,628",17,MB,Bus,PT,12,"1,721,715",,"366,237",,"71,930",,"2,111,651",,0,,"4,271,533",,0,
Jackson Transit Authority,Jackson,TN,40057,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42265,"Jackson, TN","72,809",17,MB,Bus,DO,11,"1,417,920",,"378,551",,"14,177",,"341,054",,0,,"2,151,702",,0,
Rusk County Transit Commission,Ladysmith,WI,50295,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,17,DR,Demand Response,DO,11,0,,0,,0,,0,,"915,080",,"915,080",,0,
"City of Simi Valley, dba: Simi Valley Transit",Simi Valley,CA,90050,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,82144,"Simi Valley, CA","127,364",17,DR,Demand Response,DO,11,0,,0,,0,,0,,"2,038,415",,"2,038,415",,0,
Amador Regional Transit System,Jackson,CA,91000,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,17,MB,Bus,DO,11,0,,0,,0,,0,,"980,081",,"980,081",,0,
City of Danville Mass Transit System,Danville,VA,30069,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,Non-UZA,,17,DR,Demand Response,DO,11,0,,0,,0,,0,,"1,787,090",,"1,787,090",,0,
Nevada County Transit Services,Nevada City,CA,91095,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,17,DR,Demand Response,PT,10,0,,0,,0,,0,,"1,224,804",,"1,224,804",,0,
Municipality of Mayaguez,Mayaguez,PR,40194,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,55738,"Mayagüez, PR","91,583",17,MB,Bus,PT,10,0,,0,,0,,0,,"1,707,151",,"1,707,151",,0,
City of Vacaville,Vacaville,CA,90155,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,89866,"Vacaville, CA","101,027",17,MB,Bus,PT,10,0,,0,,0,,0,,"1,903,562",,"1,903,562",,0,
Kleberg County Human Services,Kingsville,TX,60147,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,17,DR,Demand Response,DO,10,0,,0,,0,,0,,"541,624",,"541,624",,0,
City of Quincy,Quincy,IL,50258,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,17,DR,Demand Response,DO,9,0,,0,,0,,0,,"1,175,665",,"1,175,665",,0,
City of Quincy,Quincy,IL,50258,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,17,MB,Bus,DO,8,0,,0,,0,,0,,"2,224,976",,"2,224,976",,0,
City of Vacaville,Vacaville,CA,90155,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,89866,"Vacaville, CA","101,027",17,DR,Demand Response,PT,7,0,,0,,0,,0,,"916,820",,"916,820",,0,
Nevada County Transit Services,Nevada City,CA,91095,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,17,MB,Bus,DO,7,0,,0,,0,,0,,"2,876,007",,"2,876,007",,0,
Kleberg County Human Services,Kingsville,TX,60147,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,17,MB,Bus,DO,7,0,,0,,0,,0,,"114,068",,"114,068",,0,
Jackson Transit Authority,Jackson,TN,40057,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42265,"Jackson, TN","72,809",17,DR,Demand Response,DO,6,"765,954",,"218,486",,"9,184",,"229,382",,0,,"1,223,006",,0,
Rusk County Transit Commission,Ladysmith,WI,50295,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,17,MB,Bus,DO,6,0,,0,,0,,0,,"493,928",,"493,928",,0,
"City of Simi Valley, dba: Simi Valley Transit",Simi Valley,CA,90050,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,82144,"Simi Valley, CA","127,364",17,MB,Bus,DO,6,0,,0,,0,,0,,"4,399,163",,"4,399,163",,0,
City of Danville Mass Transit System,Danville,VA,30069,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,Non-UZA,,17,MB,Bus,DO,6,0,,0,,0,,0,,"1,294,099",,"1,294,099",,0,
City of Burbank,Burbank,CA,90256,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",17,DR,Demand Response,DO,5,0,,0,,0,,0,,"1,094,876",,"1,094,876",,0,
City of Plymouth,Minneapolis,MN,50516,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,57628,"Minneapolis--St. Paul, MN","2,914,866",17,DR,Demand Response,PT,5,"596,679",,"283,866",,"19,333",,"253,790",,0,,"1,153,668",,0,
Amador Regional Transit System,Jackson,CA,91000,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,17,DR,Demand Response,DO,5,0,,0,,0,,0,,"208,246",,"208,246",,0,
Tulare County Regional Transit Agency,Visalia,CA,90310,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,88840,"Tulare, CA","70,628",17,DR,Demand Response,PT,5,"230,279",,"46,361",,274,,"260,991",,0,,"537,905",,0,
City of Bangor,Bangor,ME,10096,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,4951,"Bangor, ME","61,539",17,DR,Demand Response,DO,5,0,,0,,0,,0,,"504,755",,"504,755",,0,
"City of Petersburg , dba: Petersburg Area Transit",Petersburg,VA,30009,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,74746,"Richmond, VA","1,059,150",17,DR,Demand Response,DO,4,0,,0,,0,,0,,"193,511",,"193,511",,0,
Municipality of Mayaguez,Mayaguez,PR,40194,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,55738,"Mayagüez, PR","91,583",17,DR,Demand Response,DO,4,0,,0,,0,,0,,"102,557",,"102,557",,0,
"Charlotte County Government, dba: Charlotte County Transit Division",Port Charlotte,FL,40129,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,71060,"Port Charlotte--North Port, FL","199,998",17,DR,Demand Response,DO,4,"42,378",,"10,101",,"1,636",,"14,559",,0,,"68,674",,0,
Pullman Transit,Pullman,WA,00294,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,17,DR,Demand Response,DO,4,0,,0,,0,,0,,"953,402",,"953,402",,0,
Ohio Valley Regional Transportation Authority,Wheeling,WV,30035,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,94726,"Wheeling, WV--OH","57,695",17,DR,Demand Response,DO,3,"132,947",,"80,718",,"17,119",,"174,369",,0,,"405,153",,0,
Municipality of Mayaguez,Mayaguez,PR,40194,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,55738,"Mayagüez, PR","91,583",17,MB,Bus,DO,3,0,,0,,0,,0,,"246,935",,"246,935",,0,
